Theme,Subject,Topic,Lede,More
,"Government, Public Sector and Taxes",,"Government, Public Sector and Taxes covers the latest figures for what the UK public sector has raised in revenue,spent and invested. The headline statistic is for Public Sector Net Borrowing which is a measure of the amount of money the Government has had to borrow in order to bridge the gap between expenditure and revenue. The other key statistics are Surplus on Current Budget and Public Sector Net Debt.",
,,Public Sector Finance,,
,,Research and Development Expenditure,,
,Economic Output and Productivity,,,
,Gross Value Added (GVA),,"Gross Value Added (GVA) measures the contribution to the economy of each individual producer, industry or sector in the United Kingdom. It is used in the estimation of Gross Domestic Product (GDP). GDP is a key indicator of the state of the whole economy. In the UK, three theoretical approaches are used to estimate GDP: 'production', 'income' and 'expenditure'. When using the production or income approaches, the contribution to the economy of each industry or sector is measured using GVA.",
,"Investments, Pensions and Trusts",,,
,Regional Accounts,,,
,Environmental Accounts,,"Environmental accounts show how the environment contributes to the economy, the impacts that the economy has on the environment, and how society responds to environmental issues. They include natural capital accounts (oil and gas), physical accounts (fuel use, energy consumption, atmospheric emissions, material flows, and water), and monetary accounts (environmental taxes and environmental protection expenditure). For 2014, experimental natural capital accounts (land use and forestry) are also included.",
Employment and Labour Market,,,"Labour market statistics measure many different aspects of work and jobs and provide an insight into the economy. They are also very much about people, including their participation in the labour force, the types of work they do, the earnings and benefits they receive and their working patterns. The Office for National Statistics (ONS) has developed a framework for labour market statistics to describe the major concepts that exist within the labour market and their relationship to each other.",
,People in Work,,,
,,Employment and Employee Types,,
,,Earnings and Working Hours,,
,,Labour Productivity,,
,,Workplace Disputes and Working Conditions,,
,People not in Work,,,
,Public Sector Personnel,,,
"People, Population and Community",,,"People, population and community statistics are the use of statistical measurement systems to study human behavior in a social environment. This can be accomplished through polling a group of people, evaluating a subset of data obtained about a group of people, or by observation and statistical analysis of a set of data that relates to people and their behaviors.",
,Population and Migration,,"Population and migration statistics have a wide range of uses; they are used by central and local government and the health sector for planning and monitoring policy and service delivery; resource allocation; and managing the economy. Additionally, they are used by a wider range of organisations such as commercial companies for market research, special interest groups and academia as well as being of interest to the general public.",
,,Population Estimates,"ONS estimates annually the size of the “usually resident population” at the mid-year point (30 June). This is the population who have been usually resident for a period of at least 12 months, or, if they have been resident for less than this period, intend to stay for at least 12 months in total.  Visitors and short term immigrants are not included, but usual residents of the UK temporarily visiting another country are included.",
,,International Migration,"International migration statistics provide estimates of the number of usual residents moving in or out of the UK. This set of statistics is probably the one most quoted when discussing international migration. They include only those intending to change their place of usual residence for 12 months or more, thus long-term immigrants are added to and emigrants are subtracted from the estimate of usual residents of the UK.",
,,Population Projections,"Population projections are based on mid-year population estimates and a set of underlying assumptions regarding future fertility, mortality and migration. They are not forecasts and do not attempt to predict the impact that current and future government policies, changing economic circumstances or other factors might have on demographic behaviour, for example, government policies on immigration, student fees, or local house-building policies.",
,,Migration within the UK,Internal migration estimates by Local Authority measure the flow of usual residents around the UK by age and sex.  They are published annually and are used as components of change in Local Authority population estimates and projections.,
,"Births, Deaths and Marriages",,"Births, deaths and marriages or ‘life event’ statistics contribute to the understanding of the size and condition of the population.  The number of births and deaths affect the size of the usual resident population.  Definitive data on the number of births and deaths are published on a calendar year basis, whereas data for updating population estimates use mid-year to mid-year (1 July to 30 June) data, with some other minor differences.",
,,Live Births,,
,,Deaths,,
,,"Marriage, Cohabitation and Civil Partnerships",,
,,Life Expectancies,,
,,Divorce,,
,,Adoption,,
,,Ageing,,
,,Conception and Fertility Rates,,
,,Families,,
,,Maternities,,
,,Stillbirths,,
,Health and Social Care,,,
,,Disability,,
,,"Drug use, Alcohol and Smoking",,
,,Conditions and Diseases,,
,Crime and Justice,,,
,Cultural Identity,,,
,,Ethnicity,,
,,Sexuality,,
,,Religion,,
,,Language,,
,Elections,,,
,Home Internet and Social Media Usage,,,
,Housing,,,
,Leisure and Tourism,,,
,Personal and Household Finances,,,
,,Debt,,
,,Expenditure,,
,,Income and Wealth,,
,Well-being,,"Measuring National Well-being is about looking at 'GDP and beyond'. It includes headline indicators in areas such as as health, relationships, education and skills, what we do, where we live, our finances, the economy, governance, the environment and measures of 'personal well-being' (individuals' assessment of their own well-being).",
