Name,CDID,Seasonal adjustment,Units,Main measure,Description,Note 1,Note 2
CPI: Weights (Parts Per 1000): Energy Goods,A9F3,Not seasonally adjusted,Weights (parts per 1000),Consumer Prices Index,"Consumer price indices are important indicators of how the UK economy is performing.

The indices are used in many ways by the government, businesses, and society in general. They can affect interest rates, tax allowances, wages, state benefits, pensions, maintenance, contracts and many other payments. They also show the impact of inflation on family budgets and affect the value of the pound in your pocket.",,
"CPI: Weights (Parts Per 1000): Electricity, Gas and Misc. Energy Goods",A9F4,Not seasonally adjusted,Weights (parts per 1000),Consumer Prices Index,"Consumer price indices are important indicators of how the UK economy is performing.

The indices are used in many ways by the government, businesses, and society in general. They can affect interest rates, tax allowances, wages, state benefits, pensions, maintenance, contracts and many other payments. They also show the impact of inflation on family budgets and affect the value of the pound in your pocket.",,
CPI: Weights (Parts Per 1000): CPI: Excluding Tobacco Special Aggregates,A9F5,Not seasonally adjusted,Weights (parts per 1000),Consumer Prices Index,"Consumer price indices are important indicators of how the UK economy is performing.

The indices are used in many ways by the government, businesses, and society in general. They can affect interest rates, tax allowances, wages, state benefits, pensions, maintenance, contracts and many other payments. They also show the impact of inflation on family budgets and affect the value of the pound in your pocket.",,
CPI: Weights (Parts Per 1000): Clothing and Footwear Goods,A9F6,Not seasonally adjusted,Weights (parts per 1000),Consumer Prices Index,"Consumer price indices are important indicators of how the UK economy is performing.

The indices are used in many ways by the government, businesses, and society in general. They can affect interest rates, tax allowances, wages, state benefits, pensions, maintenance, contracts and many other payments. They also show the impact of inflation on family budgets and affect the value of the pound in your pocket.",,
CPI: Weights (Parts Per 1000): Housing Goods,A9F7,Not seasonally adjusted,Weights (parts per 1000),Consumer Prices Index,"Consumer price indices are important indicators of how the UK economy is performing.

The indices are used in many ways by the government, businesses, and society in general. They can affect interest rates, tax allowances, wages, state benefits, pensions, maintenance, contracts and many other payments. They also show the impact of inflation on family budgets and affect the value of the pound in your pocket.",,
CPI: Weights (Parts Per 1000): Household Goods,A9F8,Not seasonally adjusted,Weights (parts per 1000),Consumer Prices Index,"Consumer price indices are important indicators of how the UK economy is performing.

The indices are used in many ways by the government, businesses, and society in general. They can affect interest rates, tax allowances, wages, state benefits, pensions, maintenance, contracts and many other payments. They also show the impact of inflation on family budgets and affect the value of the pound in your pocket.",,
CPI: Weights (Parts Per 1000): Water Supply; Materials For Maintenance and Repair Goods,A9F9,Not seasonally adjusted,Weights (parts per 1000),Consumer Prices Index,"Consumer price indices are important indicators of how the UK economy is performing.

The indices are used in many ways by the government, businesses, and society in general. They can affect interest rates, tax allowances, wages, state benefits, pensions, maintenance, contracts and many other payments. They also show the impact of inflation on family budgets and affect the value of the pound in your pocket.",,
CPI: Weights (Parts Per 1000): Medical Goods,A9FA,Not seasonally adjusted,Weights (parts per 1000),Consumer Prices Index,"Consumer price indices are important indicators of how the UK economy is performing.

The indices are used in many ways by the government, businesses, and society in general. They can affect interest rates, tax allowances, wages, state benefits, pensions, maintenance, contracts and many other payments. They also show the impact of inflation on family budgets and affect the value of the pound in your pocket.",,
"CPI: Weights (Parts Per 1000): Vehicles, Spare Parts and Accessories Goods",A9FB,Not seasonally adjusted,Weights (parts per 1000),Consumer Prices Index,"Consumer price indices are important indicators of how the UK economy is performing.

The indices are used in many ways by the government, businesses, and society in general. They can affect interest rates, tax allowances, wages, state benefits, pensions, maintenance, contracts and many other payments. They also show the impact of inflation on family budgets and affect the value of the pound in your pocket.",,
CPI: Weights (Parts Per 1000): Recreational Goods,A9FC,Not seasonally adjusted,Weights (parts per 1000),Consumer Prices Index,"Consumer price indices are important indicators of how the UK economy is performing.

The indices are used in many ways by the government, businesses, and society in general. They can affect interest rates, tax allowances, wages, state benefits, pensions, maintenance, contracts and many other payments. They also show the impact of inflation on family budgets and affect the value of the pound in your pocket.",,
CPI: Weights (Parts Per 1000): Audio-Visual Goods,A9FD,Not seasonally adjusted,Weights (parts per 1000),Consumer Prices Index,"Consumer price indices are important indicators of how the UK economy is performing.

The indices are used in many ways by the government, businesses, and society in general. They can affect interest rates, tax allowances, wages, state benefits, pensions, maintenance, contracts and many other payments. They also show the impact of inflation on family budgets and affect the value of the pound in your pocket.",,
CPI: Weights (Parts Per 1000): Other Recreational Goods,A9FE,Not seasonally adjusted,Weights (parts per 1000),Consumer Prices Index,"Consumer price indices are important indicators of how the UK economy is performing.

The indices are used in many ways by the government, businesses, and society in general. They can affect interest rates, tax allowances, wages, state benefits, pensions, maintenance, contracts and many other payments. They also show the impact of inflation on family budgets and affect the value of the pound in your pocket.",,
CPI: Weights (Parts Per 1000): Miscellaneous Goods,A9FF,Not seasonally adjusted,Weights (parts per 1000),Consumer Prices Index,"Consumer price indices are important indicators of how the UK economy is performing.

The indices are used in many ways by the government, businesses, and society in general. They can affect interest rates, tax allowances, wages, state benefits, pensions, maintenance, contracts and many other payments. They also show the impact of inflation on family budgets and affect the value of the pound in your pocket.",,
CPI: Weights (Parts Per 1000): Housing Services,A9FG,Not seasonally adjusted,Weights (parts per 1000),Consumer Prices Index,"Consumer price indices are important indicators of how the UK economy is performing.

The indices are used in many ways by the government, businesses, and society in general. They can affect interest rates, tax allowances, wages, state benefits, pensions, maintenance, contracts and many other payments. They also show the impact of inflation on family budgets and affect the value of the pound in your pocket.",,
CPI: Weights (Parts Per 1000): Primary Housing Services,A9FH,Not seasonally adjusted,Weights (parts per 1000),Consumer Prices Index,"Consumer price indices are important indicators of how the UK economy is performing.

The indices are used in many ways by the government, businesses, and society in general. They can affect interest rates, tax allowances, wages, state benefits, pensions, maintenance, contracts and many other payments. They also show the impact of inflation on family budgets and affect the value of the pound in your pocket.",,
CPI: Weights (Parts Per 1000): Other Housing Services,A9FI,Not seasonally adjusted,Weights (parts per 1000),Consumer Prices Index,"Consumer price indices are important indicators of how the UK economy is performing.

The indices are used in many ways by the government, businesses, and society in general. They can affect interest rates, tax allowances, wages, state benefits, pensions, maintenance, contracts and many other payments. They also show the impact of inflation on family budgets and affect the value of the pound in your pocket.",,
CPI: Weights (Parts Per 1000): Travel and Transport Services,A9FJ,Not seasonally adjusted,Weights (parts per 1000),Consumer Prices Index,"Consumer price indices are important indicators of how the UK economy is performing.

The indices are used in many ways by the government, businesses, and society in general. They can affect interest rates, tax allowances, wages, state benefits, pensions, maintenance, contracts and many other payments. They also show the impact of inflation on family budgets and affect the value of the pound in your pocket.",,
CPI: Weights (Parts Per 1000): Services For Personal Transport Equipment Services,A9FK,Not seasonally adjusted,Weights (parts per 1000),Consumer Prices Index,"Consumer price indices are important indicators of how the UK economy is performing.

The indices are used in many ways by the government, businesses, and society in general. They can affect interest rates, tax allowances, wages, state benefits, pensions, maintenance, contracts and many other payments. They also show the impact of inflation on family budgets and affect the value of the pound in your pocket.",,
CPI: Weights (Parts Per 1000): Recreational and Personal Services,A9FL,Not seasonally adjusted,Weights (parts per 1000),Consumer Prices Index,"Consumer price indices are important indicators of how the UK economy is performing.

The indices are used in many ways by the government, businesses, and society in general. They can affect interest rates, tax allowances, wages, state benefits, pensions, maintenance, contracts and many other payments. They also show the impact of inflation on family budgets and affect the value of the pound in your pocket.",,
CPI: Weights (Parts Per 1000): Package Holidays and Accommodation Services,A9FM,Not seasonally adjusted,Weights (parts per 1000),Consumer Prices Index,"Consumer price indices are important indicators of how the UK economy is performing.

The indices are used in many ways by the government, businesses, and society in general. They can affect interest rates, tax allowances, wages, state benefits, pensions, maintenance, contracts and many other payments. They also show the impact of inflation on family budgets and affect the value of the pound in your pocket.",,
CPI: Weights (Parts Per 1000): Other Recreational and Personal Services,A9FN,Not seasonally adjusted,Weights (parts per 1000),Consumer Prices Index,"Consumer price indices are important indicators of how the UK economy is performing.

The indices are used in many ways by the government, businesses, and society in general. They can affect interest rates, tax allowances, wages, state benefits, pensions, maintenance, contracts and many other payments. They also show the impact of inflation on family budgets and affect the value of the pound in your pocket.",,
CPI: Weights (Parts Per 1000): Non-Catering Recreational and Personal Services,A9FO,Not seasonally adjusted,Weights (parts per 1000),Consumer Prices Index,"Consumer price indices are important indicators of how the UK economy is performing.

The indices are used in many ways by the government, businesses, and society in general. They can affect interest rates, tax allowances, wages, state benefits, pensions, maintenance, contracts and many other payments. They also show the impact of inflation on family budgets and affect the value of the pound in your pocket.",,
CPI: Weights (Parts Per 1000): Miscellaneous Services,A9FP,Not seasonally adjusted,Weights (parts per 1000),Consumer Prices Index,"Consumer price indices are important indicators of how the UK economy is performing.

The indices are used in many ways by the government, businesses, and society in general. They can affect interest rates, tax allowances, wages, state benefits, pensions, maintenance, contracts and many other payments. They also show the impact of inflation on family budgets and affect the value of the pound in your pocket.",,
CPI: Weights (Parts Per 1000): Miscellaneous and Other Services,A9FQ,Not seasonally adjusted,Weights (parts per 1000),Consumer Prices Index,"Consumer price indices are important indicators of how the UK economy is performing.

The indices are used in many ways by the government, businesses, and society in general. They can affect interest rates, tax allowances, wages, state benefits, pensions, maintenance, contracts and many other payments. They also show the impact of inflation on family budgets and affect the value of the pound in your pocket.",,
CPI: Weights (Parts Per 1000): Medical Services (Dec 1999=100) Services,A9FR,Not seasonally adjusted,Weights (parts per 1000),Consumer Prices Index,"Consumer price indices are important indicators of how the UK economy is performing.

The indices are used in many ways by the government, businesses, and society in general. They can affect interest rates, tax allowances, wages, state benefits, pensions, maintenance, contracts and many other payments. They also show the impact of inflation on family budgets and affect the value of the pound in your pocket.",,
"CPI: Weights (Parts Per 1000): Liquid Fuels, Vehicle Fuels and Lubricants Goods",A9FS,Not seasonally adjusted,Weights (parts per 1000),Consumer Prices Index,"Consumer price indices are important indicators of how the UK economy is performing.

The indices are used in many ways by the government, businesses, and society in general. They can affect interest rates, tax allowances, wages, state benefits, pensions, maintenance, contracts and many other payments. They also show the impact of inflation on family budgets and affect the value of the pound in your pocket.",,
CPI: Weights (Parts Per 1000): CPI: Excluding Energy Special Aggregates,A9FT,Not seasonally adjusted,Weights (parts per 1000),Consumer Prices Index,"Consumer price indices are important indicators of how the UK economy is performing.

The indices are used in many ways by the government, businesses, and society in general. They can affect interest rates, tax allowances, wages, state benefits, pensions, maintenance, contracts and many other payments. They also show the impact of inflation on family budgets and affect the value of the pound in your pocket.",,
"CPI: Weights (Parts Per 1000): CPI: Excluding Energy, Food, Alcohol and Tobacco Special Aggregates",A9FU,Not seasonally adjusted,Weights (parts per 1000),Consumer Prices Index,"Consumer price indices are important indicators of how the UK economy is performing.

The indices are used in many ways by the government, businesses, and society in general. They can affect interest rates, tax allowances, wages, state benefits, pensions, maintenance, contracts and many other payments. They also show the impact of inflation on family budgets and affect the value of the pound in your pocket.",,
CPI: Weights (Parts Per 1000): CPI: Excluding Energy and Unprocessed Food Special Aggregates,A9FV,Not seasonally adjusted,Weights (parts per 1000),Consumer Prices Index,"Consumer price indices are important indicators of how the UK economy is performing.

The indices are used in many ways by the government, businesses, and society in general. They can affect interest rates, tax allowances, wages, state benefits, pensions, maintenance, contracts and many other payments. They also show the impact of inflation on family budgets and affect the value of the pound in your pocket.",,
CPI: Weights (Parts Per 1000): CPI: Excluding Seasonal Food Special Aggregates,A9FW,Not seasonally adjusted,Weights (parts per 1000),Consumer Prices Index,"Consumer price indices are important indicators of how the UK economy is performing.

The indices are used in many ways by the government, businesses, and society in general. They can affect interest rates, tax allowances, wages, state benefits, pensions, maintenance, contracts and many other payments. They also show the impact of inflation on family budgets and affect the value of the pound in your pocket.",,
CPI: Weights (Parts Per 1000): CPI: Excluding Energy and Seasonal Food Special Aggregates,A9FX,Not seasonally adjusted,Weights (parts per 1000),Consumer Prices Index,"Consumer price indices are important indicators of how the UK economy is performing.

The indices are used in many ways by the government, businesses, and society in general. They can affect interest rates, tax allowances, wages, state benefits, pensions, maintenance, contracts and many other payments. They also show the impact of inflation on family budgets and affect the value of the pound in your pocket.",,
CPI: Weights (Parts Per 1000): CPI: Excluding Alcohol and Tobacco Special Aggregates,A9FY,Not seasonally adjusted,Weights (parts per 1000),Consumer Prices Index,"Consumer price indices are important indicators of how the UK economy is performing.

The indices are used in many ways by the government, businesses, and society in general. They can affect interest rates, tax allowances, wages, state benefits, pensions, maintenance, contracts and many other payments. They also show the impact of inflation on family budgets and affect the value of the pound in your pocket.",,
"CPI: Weights (Parts Per 1000): CPI: Excluding Liquid Fuels, Vehicle Fuels and Lubricants Special Aggregates",A9FZ,Not seasonally adjusted,Weights (parts per 1000),Consumer Prices Index,"Consumer price indices are important indicators of how the UK economy is performing.

The indices are used in many ways by the government, businesses, and society in general. They can affect interest rates, tax allowances, wages, state benefits, pensions, maintenance, contracts and many other payments. They also show the impact of inflation on family budgets and affect the value of the pound in your pocket.",,
"CPI: Weights (Parts Per 1000): CPI: Excluding Housing, Water, Elec., Gas and Other Fuels Special Aggregates",A9G2,Not seasonally adjusted,Weights (parts per 1000),Consumer Prices Index,"Consumer price indices are important indicators of how the UK economy is performing.

The indices are used in many ways by the government, businesses, and society in general. They can affect interest rates, tax allowances, wages, state benefits, pensions, maintenance, contracts and many other payments. They also show the impact of inflation on family budgets and affect the value of the pound in your pocket.",,
"CPI: Weights (Parts Per 1000): CPI: Excluding Education, Health and Social Protection Special Aggregates",A9G3,Not seasonally adjusted,Weights (parts per 1000),Consumer Prices Index,"Consumer price indices are important indicators of how the UK economy is performing.

The indices are used in many ways by the government, businesses, and society in general. They can affect interest rates, tax allowances, wages, state benefits, pensions, maintenance, contracts and many other payments. They also show the impact of inflation on family budgets and affect the value of the pound in your pocket.",,
"CPI: Weights (Parts Per 1000): Energy, Food, Alcohol and Tobacco Special Aggregates",A9G4,Not seasonally adjusted,Weights (parts per 1000),Consumer Prices Index,"Consumer price indices are important indicators of how the UK economy is performing.

The indices are used in many ways by the government, businesses, and society in general. They can affect interest rates, tax allowances, wages, state benefits, pensions, maintenance, contracts and many other payments. They also show the impact of inflation on family budgets and affect the value of the pound in your pocket.",,
CPI: Weights (Parts Per 1000): Energy and Unprocessed Food Special Aggregates,A9G5,Not seasonally adjusted,Weights (parts per 1000),Consumer Prices Index,"Consumer price indices are important indicators of how the UK economy is performing.

The indices are used in many ways by the government, businesses, and society in general. They can affect interest rates, tax allowances, wages, state benefits, pensions, maintenance, contracts and many other payments. They also show the impact of inflation on family budgets and affect the value of the pound in your pocket.",,
CPI: Weights (Parts Per 1000): Energy and Seasonal Food Special Aggregates,A9G6,Not seasonally adjusted,Weights (parts per 1000),Consumer Prices Index,"Consumer price indices are important indicators of how the UK economy is performing.

The indices are used in many ways by the government, businesses, and society in general. They can affect interest rates, tax allowances, wages, state benefits, pensions, maintenance, contracts and many other payments. They also show the impact of inflation on family budgets and affect the value of the pound in your pocket.",,
"CPI: Weights (Parts Per 1000): Education, Health and Social Protection Special Aggregates",A9G7,Not seasonally adjusted,Weights (parts per 1000),Consumer Prices Index,"Consumer price indices are important indicators of how the UK economy is performing.

The indices are used in many ways by the government, businesses, and society in general. They can affect interest rates, tax allowances, wages, state benefits, pensions, maintenance, contracts and many other payments. They also show the impact of inflation on family budgets and affect the value of the pound in your pocket.","The coverage of this special aggregate has changed extensively since January 2000, when Social protection was first included and extentions to the Education and Health divisions also took effect. Health was further extended with effect from January 2001.
",
Internal Purchasing Power Of The Pound (Based On RPI): 1977=100,BAMJ,Not seasonally adjusted,Index 1977 = 100,Retail Prices Index,"Consumer price indices are important indicators of how the UK economy is performing.

The indices are used in many ways by the government, businesses, and society in general. They can affect interest rates, tax allowances, wages, state benefits, pensions, maintenance, contracts and many other payments. They also show the impact of inflation on family budgets and affect the value of the pound in your pocket.","In accordance with the Statistics and Registration Service Act 2007, the Retail Prices Index and its derivatives have been assessed against the Code of Practice for Official Statistics and found not to meet the required standards for designation as National Statistics.","Changes in the internal purchasing power of a currency may be defined as  the 'inverse' of changes in the levels of prices; when prices go up, the  amount which can be purchased with a given sum of money goes down. The  monthly figures of the all items RPI can be used to obtain estimates of the  changes in prices or in purchasing power between any 2 months. To find the  purchasing power of the pound in one month, given that it was 100p in a  previous month the calculation is:  100p multiplied by the earlier month RPI then divided by the later month RPI."
Internal Purchasing Power Of The Pound (Based On RPI): 1978=100,BAMK,Not seasonally adjusted,Index 1978 = 100,Retail Prices Index,"Consumer price indices are important indicators of how the UK economy is performing.

The indices are used in many ways by the government, businesses, and society in general. They can affect interest rates, tax allowances, wages, state benefits, pensions, maintenance, contracts and many other payments. They also show the impact of inflation on family budgets and affect the value of the pound in your pocket.","In accordance with the Statistics and Registration Service Act 2007, the Retail Prices Index and its derivatives have been assessed against the Code of Practice for Official Statistics and found not to meet the required standards for designation as National Statistics.","Changes in the internal purchasing power of a currency may be defined as  the 'inverse' of changes in the levels of prices; when prices go up, the  amount which can be purchased with a given sum of money goes down. The  monthly figures of the all items RPI can be used to obtain estimates of the  changes in prices or in purchasing power between any 2 months. To find the  purchasing power of the pound in one month, given that it was 100p in a  previous month the calculation is:  100p multiplied by the earlier month RPI then divided by the later month RPI."
Internal Purchasing Power Of The Pound (Based On RPI): 1979=100,BAML,Not seasonally adjusted,Index 1979 = 100,Retail Prices Index,"Consumer price indices are important indicators of how the UK economy is performing.

The indices are used in many ways by the government, businesses, and society in general. They can affect interest rates, tax allowances, wages, state benefits, pensions, maintenance, contracts and many other payments. They also show the impact of inflation on family budgets and affect the value of the pound in your pocket.","In accordance with the Statistics and Registration Service Act 2007, the Retail Prices Index and its derivatives have been assessed against the Code of Practice for Official Statistics and found not to meet the required standards for designation as National Statistics.","Changes in the internal purchasing power of a currency may be defined as  the 'inverse' of changes in the levels of prices; when prices go up, the  amount which can be purchased with a given sum of money goes down. The  monthly figures of the all items RPI can be used to obtain estimates of the  changes in prices or in purchasing power between any 2 months. To find the  purchasing power of the pound in one month, given that it was 100p in a  previous month the calculation is:  100p multiplied by the earlier month RPI then divided by the later month RPI."
Internal Purchasing Power Of The Pound (Based On RPI): 1980=100,BAMM,Not seasonally adjusted,Index 1980 = 100,Retail Prices Index,"Consumer price indices are important indicators of how the UK economy is performing.

The indices are used in many ways by the government, businesses, and society in general. They can affect interest rates, tax allowances, wages, state benefits, pensions, maintenance, contracts and many other payments. They also show the impact of inflation on family budgets and affect the value of the pound in your pocket.","In accordance with the Statistics and Registration Service Act 2007, the Retail Prices Index and its derivatives have been assessed against the Code of Practice for Official Statistics and found not to meet the required standards for designation as National Statistics.","Changes in the internal purchasing power of a currency may be defined as  the 'inverse' of changes in the levels of prices; when prices go up, the  amount which can be purchased with a given sum of money goes down. The  monthly figures of the all items RPI can be used to obtain estimates of the  changes in prices or in purchasing power between any 2 months. To find the  purchasing power of the pound in one month, given that it was 100p in a  previous month the calculation is:  100p multiplied by the earlier month RPI then divided by the later month RPI."
Internal Purchasing Power Of The Pound (Based On RPI): 1981=100,BAMN,Not seasonally adjusted,Index 1981 = 100,Retail Prices Index,"Consumer price indices are important indicators of how the UK economy is performing.

The indices are used in many ways by the government, businesses, and society in general. They can affect interest rates, tax allowances, wages, state benefits, pensions, maintenance, contracts and many other payments. They also show the impact of inflation on family budgets and affect the value of the pound in your pocket.","In accordance with the Statistics and Registration Service Act 2007, the Retail Prices Index and its derivatives have been assessed against the Code of Practice for Official Statistics and found not to meet the required standards for designation as National Statistics.","Changes in the internal purchasing power of a currency may be defined as  the 'inverse' of changes in the levels of prices; when prices go up, the  amount which can be purchased with a given sum of money goes down. The  monthly figures of the all items RPI can be used to obtain estimates of the  changes in prices or in purchasing power between any 2 months. To find the  purchasing power of the pound in one month, given that it was 100p in a  previous month the calculation is:  100p multiplied by the earlier month RPI then divided by the later month RPI."
Internal Purchasing Power Of The Pound (Based On RPI): 1982=100,BAMO,Not seasonally adjusted,Index 1982 = 100,Retail Prices Index,"Consumer price indices are important indicators of how the UK economy is performing.

The indices are used in many ways by the government, businesses, and society in general. They can affect interest rates, tax allowances, wages, state benefits, pensions, maintenance, contracts and many other payments. They also show the impact of inflation on family budgets and affect the value of the pound in your pocket.","In accordance with the Statistics and Registration Service Act 2007, the Retail Prices Index and its derivatives have been assessed against the Code of Practice for Official Statistics and found not to meet the required standards for designation as National Statistics.","Changes in the internal purchasing power of a currency may be defined as  the 'inverse' of changes in the levels of prices; when prices go up, the  amount which can be purchased with a given sum of money goes down. The  monthly figures of the all items RPI can be used to obtain estimates of the  changes in prices or in purchasing power between any 2 months. To find the  purchasing power of the pound in one month, given that it was 100p in a  previous month the calculation is:  100p multiplied by the earlier month RPI then divided by the later month RPI."
Internal Purchasing Power Of The Pound (Based On RPI): 1983=100,BAMP,Not seasonally adjusted,Index 1983 = 100,Retail Prices Index,"Consumer price indices are important indicators of how the UK economy is performing.

The indices are used in many ways by the government, businesses, and society in general. They can affect interest rates, tax allowances, wages, state benefits, pensions, maintenance, contracts and many other payments. They also show the impact of inflation on family budgets and affect the value of the pound in your pocket.","In accordance with the Statistics and Registration Service Act 2007, the Retail Prices Index and its derivatives have been assessed against the Code of Practice for Official Statistics and found not to meet the required standards for designation as National Statistics.","Changes in the internal purchasing power of a currency may be defined as  the 'inverse' of changes in the levels of prices; when prices go up, the  amount which can be purchased with a given sum of money goes down. The  monthly figures of the all items RPI can be used to obtain estimates of the  changes in prices or in purchasing power between any 2 months. To find the  purchasing power of the pound in one month, given that it was 100p in a  previous month the calculation is:  100p multiplied by the earlier month RPI then divided by the later month RPI."
Internal Purchasing Power Of The Pound (Based On RPI): 1984=100,BAMQ,Not seasonally adjusted,Index 1984 = 100,Retail Prices Index,"Consumer price indices are important indicators of how the UK economy is performing.

The indices are used in many ways by the government, businesses, and society in general. They can affect interest rates, tax allowances, wages, state benefits, pensions, maintenance, contracts and many other payments. They also show the impact of inflation on family budgets and affect the value of the pound in your pocket.","In accordance with the Statistics and Registration Service Act 2007, the Retail Prices Index and its derivatives have been assessed against the Code of Practice for Official Statistics and found not to meet the required standards for designation as National Statistics.","Changes in the internal purchasing power of a currency may be defined as  the 'inverse' of changes in the levels of prices; when prices go up, the  amount which can be purchased with a given sum of money goes down. The  monthly figures of the all items RPI can be used to obtain estimates of the  changes in prices or in purchasing power between any 2 months. To find the  purchasing power of the pound in one month, given that it was 100p in a  previous month the calculation is:  100p multiplied by the earlier month RPI then divided by the later month RPI."
Internal Purchasing Power Of The Pound (Based On RPI): 1985=100,BAMR,Not seasonally adjusted,Index 1985 = 100,Retail Prices Index,"Consumer price indices are important indicators of how the UK economy is performing.

The indices are used in many ways by the government, businesses, and society in general. They can affect interest rates, tax allowances, wages, state benefits, pensions, maintenance, contracts and many other payments. They also show the impact of inflation on family budgets and affect the value of the pound in your pocket.","In accordance with the Statistics and Registration Service Act 2007, the Retail Prices Index and its derivatives have been assessed against the Code of Practice for Official Statistics and found not to meet the required standards for designation as National Statistics.","Changes in the internal purchasing power of a currency may be defined as  the 'inverse' of changes in the levels of prices; when prices go up, the  amount which can be purchased with a given sum of money goes down. The  monthly figures of the all items RPI can be used to obtain estimates of the  changes in prices or in purchasing power between any 2 months. To find the  purchasing power of the pound in one month, given that it was 100p in a  previous month the calculation is:  100p multiplied by the earlier month RPI then divided by the later month RPI."
Internal Purchasing Power Of The Pound (Based On RPI): 1986=100,BAMS,Not seasonally adjusted,Index 1986 = 100,Retail Prices Index,"Consumer price indices are important indicators of how the UK economy is performing.

The indices are used in many ways by the government, businesses, and society in general. They can affect interest rates, tax allowances, wages, state benefits, pensions, maintenance, contracts and many other payments. They also show the impact of inflation on family budgets and affect the value of the pound in your pocket.","In accordance with the Statistics and Registration Service Act 2007, the Retail Prices Index and its derivatives have been assessed against the Code of Practice for Official Statistics and found not to meet the required standards for designation as National Statistics.","Changes in the internal purchasing power of a currency may be defined as  the 'inverse' of changes in the levels of prices; when prices go up, the  amount which can be purchased with a given sum of money goes down. The  monthly figures of the all items RPI can be used to obtain estimates of the  changes in prices or in purchasing power between any 2 months. To find the  purchasing power of the pound in one month, given that it was 100p in a  previous month the calculation is:  100p multiplied by the earlier month RPI then divided by the later month RPI."
